#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
999564053 ; 7.68118 ; 3.29773 ; 0 ; 0
999564213 ; 7.69822 ; 3.29773 ; 0 ; 0
999564373 ; 7.68483 ; 3.29773 ; 0 ; 0
999564533 ; 7.6824 ; 3.29773 ; 0 ; 0
999564693 ; 7.69701 ; 3.29773 ; 0 ; 0
999564853 ; 7.70188 ; 3.29773 ; 0 ; 0
999565013 ; 7.68362 ; 3.29773 ; 0 ; 0
999565173 ; 7.67509 ; 3.29773 ; 0 ; 0
999565333 ; 7.68727 ; 3.29773 ; 0 ; 0
999565493 ; 7.68849 ; 3.29773 ; 0 ; 0
999565653 ; 7.6897 ; 3.29773 ; 0 ; 0
999565813 ; 7.69822 ; 3.29773 ; 0 ; 0
999565973 ; 7.68362 ; 3.29773 ; 0 ; 0
999566133 ; 7.67509 ; 3.29773 ; 0 ; 0
999566293 ; 7.69092 ; 3.29773 ; 0 ; 0
999566453 ; 7.70553 ; 3.29773 ; 0 ; 0
999566613 ; 7.6824 ; 3.29773 ; 0 ; 0
999566773 ; 7.70066 ; 3.29773 ; 0 ; 0
999566933 ; 7.68483 ; 3.29773 ; 0 ; 0
999567093 ; 7.70309 ; 3.29773 ; 0 ; 0
999567253 ; 7.69336 ; 3.29773 ; 0 ; 0
999567413 ; 7.68118 ; 3.29773 ; 0 ; 0
999567573 ; 7.67875 ; 3.29773 ; 0 ; 0
999567733 ; 7.70066 ; 3.29773 ; 0 ; 0
999567893 ; 7.69579 ; 3.29773 ; 0 ; 0
999568053 ; 7.69092 ; 3.29773 ; 0 ; 0
999568213 ; 7.69701 ; 3.29773 ; 0 ; 0
999568373 ; 7.68727 ; 3.29773 ; 0 ; 0
999568533 ; 7.68483 ; 3.29773 ; 0 ; 0
999568693 ; 7.6897 ; 3.29773 ; 0 ; 0
999568853 ; 7.69579 ; 3.29773 ; 0 ; 0
999569013 ; 7.69944 ; 3.29773 ; 0 ; 0
999569173 ; 7.69336 ; 3.29773 ; 0 ; 0
999569333 ; 7.67753 ; 3.29773 ; 0 ; 0
999569493 ; 7.70188 ; 3.29773 ; 0 ; 0
999569653 ; 7.68727 ; 3.29773 ; 0 ; 0
999569813 ; 7.69579 ; 3.29773 ; 0 ; 0
999569973 ; 7.69701 ; 3.29773 ; 0 ; 0
999570133 ; 7.68483 ; 3.29773 ; 0 ; 0
999570293 ; 7.69822 ; 3.29773 ; 0 ; 0
999570453 ; 7.67631 ; 3.29773 ; 0 ; 0
999570613 ; 7.69822 ; 3.29773 ; 0 ; 0
999570773 ; 7.6897 ; 3.29773 ; 0 ; 0
999570933 ; 7.69214 ; 3.29773 ; 0 ; 0
999571093 ; 7.69457 ; 3.29773 ; 0 ; 0
999571253 ; 7.68483 ; 3.29773 ; 0 ; 0
999571413 ; 7.68849 ; 3.29773 ; 0 ; 0
999571573 ; 7.69092 ; 3.29773 ; 0 ; 0
999571733 ; 7.69822 ; 3.29773 ; 0 ; 0
999571893 ; 7.69092 ; 3.29773 ; 0 ; 0
999572053 ; 7.69822 ; 3.29773 ; 0 ; 0
999572213 ; 7.70675 ; 3.29773 ; 0 ; 0
999572373 ; 7.68118 ; 3.29773 ; 0 ; 0
999572533 ; 7.67875 ; 3.29773 ; 0 ; 0
999572693 ; 7.69336 ; 3.29773 ; 0 ; 0
999572853 ; 7.70066 ; 3.29773 ; 0 ; 0
999573013 ; 7.70675 ; 3.29773 ; 0 ; 0
999573173 ; 7.69336 ; 3.29773 ; 0 ; 0
999573333 ; 7.69214 ; 3.29773 ; 0 ; 0
999573493 ; 7.6824 ; 3.29773 ; 0 ; 0
999573653 ; 7.6897 ; 3.29773 ; 0 ; 0
999573813 ; 7.70066 ; 3.29773 ; 0 ; 0
999573973 ; 7.69944 ; 3.29773 ; 0 ; 0
999574133 ; 7.68118 ; 3.29773 ; 0 ; 0
999574293 ; 7.69214 ; 3.29773 ; 0 ; 0
999574453 ; 7.67388 ; 3.29773 ; 0 ; 0
999574613 ; 7.69701 ; 3.29773 ; 0 ; 0
999574773 ; 7.69944 ; 3.29773 ; 0 ; 0
999574933 ; 7.69214 ; 3.29773 ; 0 ; 0
999575093 ; 7.70188 ; 3.29773 ; 0 ; 0
999575253 ; 7.69092 ; 3.29773 ; 0 ; 0
999575413 ; 7.69822 ; 3.29773 ; 0 ; 0
999575573 ; 7.6824 ; 3.29773 ; 0 ; 0
999575733 ; 7.69822 ; 3.29773 ; 0 ; 0
999575893 ; 7.69579 ; 3.29773 ; 0 ; 0
999576053 ; 7.69579 ; 3.29773 ; 0 ; 0
999576213 ; 7.69092 ; 3.29773 ; 0 ; 0
999576373 ; 7.6824 ; 3.29773 ; 0 ; 0
999576533 ; 7.69336 ; 3.29773 ; 0 ; 0
999576693 ; 7.68849 ; 3.29773 ; 0 ; 0
999576853 ; 7.67996 ; 3.29773 ; 0 ; 0
999577013 ; 7.7177 ; 3.29773 ; 0 ; 0
999577173 ; 7.68362 ; 3.29773 ; 0 ; 0
999577333 ; 7.69822 ; 3.29773 ; 0 ; 0
999577493 ; 7.67144 ; 3.29773 ; 0 ; 0
999577653 ; 7.69336 ; 3.29773 ; 0 ; 0
999577813 ; 7.69092 ; 3.29773 ; 0 ; 0
999577973 ; 7.69336 ; 3.29773 ; 0 ; 0
999578133 ; 7.69457 ; 3.29773 ; 0 ; 0
999578293 ; 7.67631 ; 3.29773 ; 0 ; 0
999578453 ; 7.69944 ; 3.29773 ; 0 ; 0
999578613 ; 7.68483 ; 3.29773 ; 0 ; 0
999578773 ; 7.69579 ; 3.29773 ; 0 ; 0
999578933 ; 7.70675 ; 3.29773 ; 0 ; 0
999579093 ; 7.68727 ; 3.29773 ; 0 ; 0
999579253 ; 7.68605 ; 3.29773 ; 0 ; 0
999579413 ; 7.69214 ; 3.29773 ; 0 ; 0
999579573 ; 7.67631 ; 3.29773 ; 0 ; 0
999579733 ; 7.70066 ; 3.29773 ; 0 ; 0
999579893 ; 7.70188 ; 3.29773 ; 0 ; 0
999580053 ; 7.68605 ; 3.29773 ; 0 ; 0
999580213 ; 7.69701 ; 3.29773 ; 0 ; 0
999580373 ; 7.67509 ; 3.29773 ; 0 ; 0
999580533 ; 7.70188 ; 3.29773 ; 0 ; 0
999580693 ; 7.69457 ; 3.29773 ; 0 ; 0
999580853 ; 7.6897 ; 3.29773 ; 0 ; 0
999581013 ; 7.68605 ; 3.29773 ; 0 ; 0
999581173 ; 7.68483 ; 3.29773 ; 0 ; 0
999581333 ; 7.69214 ; 3.29773 ; 0 ; 0
999581493 ; 7.68362 ; 3.29773 ; 0 ; 0
