#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
943725493 ; 7.44134 ; 3.3007 ; 0 ; 0
943725653 ; 7.46813 ; 3.3007 ; 0 ; 0
943725813 ; 7.4596 ; 3.3007 ; 0 ; 0
943725973 ; 7.46691 ; 3.3007 ; 0 ; 0
943726133 ; 7.45839 ; 3.3007 ; 0 ; 0
943726293 ; 7.44256 ; 3.3007 ; 0 ; 0
943726453 ; 7.47543 ; 3.3007 ; 0 ; 0
943726613 ; 7.46569 ; 3.3007 ; 0 ; 0
943726773 ; 7.45595 ; 3.3007 ; 0 ; 0
943726933 ; 7.46569 ; 3.3007 ; 0 ; 0
943727093 ; 7.46569 ; 3.3007 ; 0 ; 0
943727253 ; 7.46447 ; 3.3007 ; 0 ; 0
943727413 ; 7.46204 ; 3.3007 ; 0 ; 0
943727573 ; 7.45839 ; 3.3007 ; 0 ; 0
943727733 ; 7.46204 ; 3.3007 ; 0 ; 0
943727893 ; 7.46813 ; 3.3007 ; 0 ; 0
943728053 ; 7.4523 ; 3.3007 ; 0 ; 0
943728213 ; 7.46934 ; 3.3007 ; 0 ; 0
943728373 ; 7.45595 ; 3.3007 ; 0 ; 0
943728533 ; 7.4596 ; 3.3007 ; 0 ; 0
943728693 ; 7.47421 ; 3.3007 ; 0 ; 0
943728853 ; 7.45473 ; 3.3007 ; 0 ; 0
943729013 ; 7.47421 ; 3.3007 ; 0 ; 0
943729173 ; 7.44986 ; 3.3007 ; 0 ; 0
943729333 ; 7.4523 ; 3.3007 ; 0 ; 0
943729493 ; 7.48517 ; 3.3007 ; 0 ; 0
943729653 ; 7.43404 ; 3.3007 ; 0 ; 0
943729813 ; 7.48152 ; 3.3007 ; 0 ; 0
943729973 ; 7.46813 ; 3.3007 ; 0 ; 0
943730133 ; 7.44499 ; 3.3007 ; 0 ; 0
943730293 ; 7.473 ; 3.3007 ; 0 ; 0
943730453 ; 7.47421 ; 3.3007 ; 0 ; 0
943730613 ; 7.44256 ; 3.3007 ; 0 ; 0
943730773 ; 7.4803 ; 3.3007 ; 0 ; 0
943730933 ; 7.44378 ; 3.3007 ; 0 ; 0
943731093 ; 7.47665 ; 3.3007 ; 0 ; 0
943731253 ; 7.45839 ; 3.3007 ; 0 ; 0
943731413 ; 7.46326 ; 3.3007 ; 0 ; 0
943731573 ; 7.4523 ; 3.3007 ; 0 ; 0
943731733 ; 7.47908 ; 3.3007 ; 0 ; 0
943731893 ; 7.46326 ; 3.3007 ; 0 ; 0
943732053 ; 7.46326 ; 3.3007 ; 0 ; 0
943732213 ; 7.4596 ; 3.3007 ; 0 ; 0
943732373 ; 7.45839 ; 3.3007 ; 0 ; 0
943732533 ; 7.46447 ; 3.3007 ; 0 ; 0
943732693 ; 7.45717 ; 3.3007 ; 0 ; 0
943732853 ; 7.46691 ; 3.3007 ; 0 ; 0
943733013 ; 7.45717 ; 3.3007 ; 0 ; 0
943733173 ; 7.47056 ; 3.3007 ; 0 ; 0
943733333 ; 7.47178 ; 3.3007 ; 0 ; 0
943733493 ; 7.45839 ; 3.3007 ; 0 ; 0
943733653 ; 7.46934 ; 3.3007 ; 0 ; 0
943733813 ; 7.45717 ; 3.3007 ; 0 ; 0
943733973 ; 7.44986 ; 3.3007 ; 0 ; 0
943734133 ; 7.47178 ; 3.3007 ; 0 ; 0
943734293 ; 7.44865 ; 3.3007 ; 0 ; 0
943734453 ; 7.46204 ; 3.3007 ; 0 ; 0
943734613 ; 7.46934 ; 3.3007 ; 0 ; 0
943734773 ; 10.9281 ; 3.3007 ; 0 ; 0
943734933 ; 29.1194 ; 3.3007 ; 0 ; 0
943735093 ; 28.468 ; 3.3007 ; 0 ; 0
943735253 ; 29.3556 ; 3.3007 ; 0 ; 0
943735413 ; 29.0378 ; 3.3007 ; 0 ; 0
943735573 ; 29.6441 ; 3.29979 ; 0 ; 0
943735733 ; 29.8012 ; 3.29979 ; 0 ; 0
943735893 ; 28.5898 ; 3.29979 ; 0 ; 0
943736053 ; 29.7841 ; 3.29979 ; 0 ; 0
943736213 ; 29.0609 ; 3.29979 ; 0 ; 0
943736373 ; 29.0001 ; 3.29979 ; 0 ; 0
943736533 ; 29.7671 ; 3.29979 ; 0 ; 0
943736693 ; 29.705 ; 3.29979 ; 0 ; 0
943736853 ; 29.5674 ; 3.29979 ; 0 ; 0
943737013 ; 28.9051 ; 3.29979 ; 0 ; 0
943737173 ; 30.4975 ; 3.29979 ; 0 ; 0
943737333 ; 31.0892 ; 3.29979 ; 0 ; 0
943737493 ; 28.7967 ; 3.29979 ; 0 ; 0
943737653 ; 29.694 ; 3.29979 ; 0 ; 0
943737813 ; 33.9588 ; 3.29979 ; 0 ; 0
943737973 ; 30.6132 ; 3.29979 ; 0 ; 0
943738133 ; 32.6597 ; 3.29979 ; 0 ; 0
943738293 ; 31.6237 ; 3.29979 ; 0 ; 0
943738453 ; 31.407 ; 3.29979 ; 0 ; 0
943738613 ; 31.8087 ; 3.29979 ; 0 ; 0
943738773 ; 30.6716 ; 3.29979 ; 0 ; 0
943738933 ; 30.8701 ; 3.29979 ; 0 ; 0
943739093 ; 28.9343 ; 3.29979 ; 0 ; 0
943739253 ; 28.5277 ; 3.29979 ; 0 ; 0
943739413 ; 28.4997 ; 3.29979 ; 0 ; 0
943739573 ; 10.4874 ; 3.29979 ; 0 ; 0
943739733 ; 7.48882 ; 3.29979 ; 0 ; 0
